Stock,Model,Variant,Delta_RMSE,ModelVariant
PG,LSTM,score_plus_topic_vader,0.1680040218201584,LSTM | score_plus_topic_vader
PG,LSTM,score_bert_plus_topic_bert,-0.05406041901336289,LSTM | score_bert_plus_topic_bert
PYPL,CNN,only_score,-3.8199246373582127,CNN | only_score
PYPL,CNN,only_score_bert,-4.347748620452517,CNN | only_score_bert
PYPL,CNN,score_plus_topic_vader,-1.5096124250394967,CNN | score_plus_topic_vader
PYPL,CNN,score_bert_plus_topic_bert,-3.348356450958332,CNN | score_bert_plus_topic_bert
PYPL,CNN-LSTM,only_score,-0.9144600051111156,CNN-LSTM | only_score
PYPL,CNN-LSTM,only_score_bert,-1.5042501632162737,CNN-LSTM | only_score_bert
PYPL,CNN-LSTM,score_plus_topic_vader,-0.9301057510273743,CNN-LSTM | score_plus_topic_vader
PYPL,CNN-LSTM,score_bert_plus_topic_bert,-3.044830010737185,CNN-LSTM | score_bert_plus_topic_bert
PYPL,LSTM,only_score,-0.32594719566163155,LSTM | only_score
PYPL,LSTM,only_score_bert,0.3880022231672253,LSTM | only_score_bert
PYPL,LSTM,score_plus_topic_vader,-0.27481493578268434,LSTM | score_plus_topic_vader
PYPL,LSTM,score_bert_plus_topic_bert,-0.4269652664065253,LSTM | score_bert_plus_topic_bert
TSLA,CNN,only_score,-0.05283812922134601,CNN | only_score
TSLA,CNN,only_score_bert,-3.60419680634503,CNN | only_score_bert
TSLA,CNN,score_plus_topic_vader,1.0761643547483324,CNN | score_plus_topic_vader
TSLA,CNN,score_bert_plus_topic_bert,-6.733499162901412,CNN | score_bert_plus_topic_bert
TSLA,CNN-LSTM,only_score,1.6841297358631007,CNN-LSTM | only_score
TSLA,CNN-LSTM,only_score_bert,-0.9218154997601395,CNN-LSTM | only_score_bert
TSLA,CNN-LSTM,score_plus_topic_vader,1.3398876911948108,CNN-LSTM | score_plus_topic_vader
TSLA,CNN-LSTM,score_bert_plus_topic_bert,-4.494567792115287,CNN-LSTM | score_bert_plus_topic_bert
TSLA,LSTM,only_score,1.9734389130857526,LSTM | only_score
TSLA,LSTM,only_score_bert,1.310382486878396,LSTM | only_score_bert
TSLA,LSTM,score_plus_topic_vader,1.7899699551149926,LSTM | score_plus_topic_vader
TSLA,LSTM,score_bert_plus_topic_bert,0.6930715014264663,LSTM | score_bert_plus_topic_bert
TSM,CNN,only_score,1.7210515548514964,CNN | only_score
TSM,CNN,only_score_bert,1.3225929892278936,CNN | only_score_bert
TSM,CNN,score_plus_topic_vader,1.0505107775720441,CNN | score_plus_topic_vader
TSM,CNN,score_bert_plus_topic_bert,1.4343074124951336,CNN | score_bert_plus_topic_bert
TSM,CNN-LSTM,only_score,1.4951484542363436,CNN-LSTM | only_score
TSM,CNN-LSTM,only_score_bert,0.26755107503361675,CNN-LSTM | only_score_bert
TSM,CNN-LSTM,score_plus_topic_vader,0.4838397400692811,CNN-LSTM | score_plus_topic_vader
TSM,CNN-LSTM,score_bert_plus_topic_bert,0.8533807389290131,CNN-LSTM | score_bert_plus_topic_bert
TSM,LSTM,only_score,-0.9128390111050964,LSTM | only_score
TSM,LSTM,only_score_bert,0.1575679179129139,LSTM | only_score_bert
TSM,LSTM,score_plus_topic_vader,-0.30637836333709734,LSTM | score_plus_topic_vader
TSM,LSTM,score_bert_plus_topic_bert,-0.44821050682358443,LSTM | score_bert_plus_topic_bert
VZ,CNN,only_score,0.5658757100735916,CNN | only_score
VZ,CNN,only_score_bert,0.36662260049945106,CNN | only_score_bert
VZ,CNN,score_plus_topic_vader,-0.9831583171436777,CNN | score_plus_topic_vader
VZ,CNN,score_bert_plus_topic_bert,0.5930777823310441,CNN | score_bert_plus_topic_bert
VZ,CNN-LSTM,only_score,0.224533723836418,CNN-LSTM | only_score
VZ,CNN-LSTM,only_score_bert,0.6863436933895383,CNN-LSTM | only_score_bert
VZ,CNN-LSTM,score_plus_topic_vader,0.42810758487831313,CNN-LSTM | score_plus_topic_vader
VZ,CNN-LSTM,score_bert_plus_topic_bert,0.8263779362117617,CNN-LSTM | score_bert_plus_topic_bert
VZ,LSTM,only_score,-0.017839513978044952,LSTM | only_score
VZ,LSTM,only_score_bert,-0.04682345033290769,LSTM | only_score_bert
VZ,LSTM,score_plus_topic_vader,0.026469976699074582,LSTM | score_plus_topic_vader
VZ,LSTM,score_bert_plus_topic_bert,-0.2934444575023575,LSTM | score_bert_plus_topic_bert
XPEV,CNN,only_score,0.06984332547861039,CNN | only_score
XPEV,CNN,only_score_bert,-1.6713261132296218,CNN | only_score_bert
XPEV,CNN,score_plus_topic_vader,-1.745002623717479,CNN | score_plus_topic_vader
XPEV,CNN,score_bert_plus_topic_bert,-0.005470475392319152,CNN | score_bert_plus_topic_bert
XPEV,CNN-LSTM,only_score,1.9486674032795368,CNN-LSTM | only_score
XPEV,CNN-LSTM,only_score_bert,1.3331748608930183,CNN-LSTM | only_score_bert
XPEV,CNN-LSTM,score_plus_topic_vader,0.7066693176307153,CNN-LSTM | score_plus_topic_vader
XPEV,CNN-LSTM,score_bert_plus_topic_bert,-0.3885332163613455,CNN-LSTM | score_bert_plus_topic_bert
XPEV,LSTM,only_score,0.8048594668567719,LSTM | only_score
XPEV,LSTM,only_score_bert,1.7895419148590435,LSTM | only_score_bert
XPEV,LSTM,score_plus_topic_vader,-0.2586958958407992,LSTM | score_plus_topic_vader
XPEV,LSTM,score_bert_plus_topic_bert,0.64279248638065,LSTM | score_bert_plus_topic_bert
ZS,CNN,only_score,0.15691172260331143,CNN | only_score
ZS,CNN,only_score_bert,-3.2185537315387975,CNN | only_score_bert
ZS,CNN,score_plus_topic_vader,-2.032936487427431,CNN | score_plus_topic_vader
ZS,CNN,score_bert_plus_topic_bert,-3.3228674775670797,CNN | score_bert_plus_topic_bert
ZS,CNN-LSTM,only_score,-1.1489150970681443,CNN-LSTM | only_score
ZS,CNN-LSTM,only_score_bert,-0.3035529715970373,CNN-LSTM | only_score_bert
ZS,CNN-LSTM,score_plus_topic_vader,-2.0996371383207038,CNN-LSTM | score_plus_topic_vader
ZS,CNN-LSTM,score_bert_plus_topic_bert,-1.0070457744468868,CNN-LSTM | score_bert_plus_topic_bert
ZS,LSTM,only_score,0.021393824458650457,LSTM | only_score
ZS,LSTM,only_score_bert,3.1924959221854046,LSTM | only_score_bert
ZS,LSTM,score_plus_topic_vader,2.368824911526218,LSTM | score_plus_topic_vader
ZS,LSTM,score_bert_plus_topic_bert,0.8556316271411202,LSTM | score_bert_plus_topic_bert
