Stock,Model,Variant,RMSE,MAE,R2,MAPE%,n_obs,n_test
COST,LSTM,score_plus_topic_vader,12.047905631590279,10.147221374511712,0.6633379106766506,2.0145512346662264,233,20
CRM,CNN,no_scores,11.430024736002766,10.215069580078126,-3.799768009781415,6.728512131978228,233,20
CRM,CNN,only_score,9.24379505367752,8.423803710937502,-2.1392544782923495,5.537802679617619,233,20
CRM,CNN,only_score_bert,12.201062280105797,10.203405761718752,-4.46916712094342,6.725082082455039,233,20
CRM,CNN,score_bert_plus_topic_bert,9.263741301351653,7.959811401367186,-2.1528168525562257,5.218513952785535,233,20
CRM,CNN,score_plus_topic_vader,13.721699781289788,11.385569763183593,-5.917381571200929,7.567432655004,233,20
CRM,CNN-LSTM,no_scores,12.0744625388437,9.324124908447267,-4.35625843520499,6.217494098296621,233,20
CRM,CNN-LSTM,only_score,11.838049609626388,9.297243499755862,-4.1485652082618065,6.190625870590349,233,20
CRM,CNN-LSTM,only_score_bert,5.6156992610874505,4.658811187744139,-0.15860017579284014,3.0422430640458122,233,20
CRM,CNN-LSTM,score_bert_plus_topic_bert,9.975181406564229,8.28508987426758,-2.6556744310795852,5.487659887326659,233,20
CRM,CNN-LSTM,score_plus_topic_vader,12.588206688811177,9.467006683349608,-4.821751134709756,6.3066111039543955,233,20
CRM,LSTM,no_scores,6.347605789064696,5.2813552856445325,-0.48028657829017085,3.4932109669748,233,20
CRM,LSTM,only_score,14.049152946346153,11.208370208740233,-6.251472215612057,7.456752248083472,233,20
CRM,LSTM,only_score_bert,6.1756739947875054,5.287611389160155,-0.40118226128914913,3.4722393356793786,233,20
CRM,LSTM,score_bert_plus_topic_bert,8.668475132777964,7.395670318603514,-1.7606498228698118,4.854541116875297,233,20
CRM,LSTM,score_plus_topic_vader,7.934053390354717,6.756652069091795,-1.3126831894893503,4.443621064399382,233,20
DIS,CNN,no_scores,5.491703660922805,4.1772682189941435,0.2293966517265542,3.7765358876915163,233,20
DIS,CNN,only_score,5.00373686122354,4.241222000122066,0.3602568728172968,3.899629824046217,233,20
DIS,CNN,only_score_bert,5.3154179150300225,4.2636348724365245,0.2780759084149266,3.8970267674815138,233,20
DIS,CNN,score_bert_plus_topic_bert,4.607908673882497,3.1470417022705077,0.45746916133698756,2.847822441574494,233,20
DIS,CNN,score_plus_topic_vader,4.819726007788797,3.7608188629150376,0.40644440421094585,3.4348451969678324,233,20
DIS,CNN-LSTM,no_scores,3.415340087595625,2.6130741119384724,0.701953096060502,2.3801568795025316,233,20
DIS,CNN-LSTM,only_score,2.667999711886139,2.2908836364746064,0.8181186118664041,2.127615982422009,233,20
DIS,CNN-LSTM,only_score_bert,3.490850974183753,2.57175941467285,0.688628168340101,2.3259758981800043,233,20
DIS,CNN-LSTM,score_bert_plus_topic_bert,2.857882227219709,2.538288497924802,0.791308212611054,2.3579902775188577,233,20
DIS,CNN-LSTM,score_plus_topic_vader,2.428395829419645,1.819213485717769,0.8493199831507132,1.6594631755074734,233,20
DIS,LSTM,no_scores,3.1479837740138423,2.787736892700191,0.7467895216092979,2.604528412036662,233,20
DIS,LSTM,only_score,2.696354948062188,2.3779689788818317,0.8142320332621287,2.214377503784993,233,20
DIS,LSTM,only_score_bert,2.8214877385636843,2.483283233642574,0.7965896542580315,2.3100607736551333,233,20
DIS,LSTM,score_bert_plus_topic_bert,3.127629004399887,2.4894672393798785,0.7500534380602086,2.283131708534044,233,20
DIS,LSTM,score_plus_topic_vader,4.086865227309518,3.513217926025386,0.5732266068660379,3.353019710196451,233,20
ENPH,CNN,no_scores,22.901096906639243,18.98133239746094,-1.1822969198015865,6.3574473555797875,233,20
ENPH,CNN,only_score,21.51578052706681,18.270742797851568,-0.9262625528041766,6.098006309767694,233,20
ENPH,CNN,only_score_bert,21.605989656335584,18.507012939453126,-0.9424488810118561,6.281384258293134,233,20
ENPH,CNN,score_bert_plus_topic_bert,18.598343536746714,13.352624511718744,-0.43929495010278985,4.449838371487631,233,20
ENPH,CNN,score_plus_topic_vader,20.94224723702104,17.140806579589842,-0.824936828127073,5.725377426172758,233,20
ENPH,CNN-LSTM,no_scores,12.597203388380183,10.108782958984369,0.33968744735123124,3.376488628057582,233,20
ENPH,CNN-LSTM,only_score,10.398114037408774,8.507919311523432,0.5501057704027866,2.846100907639709,233,20
ENPH,CNN-LSTM,only_score_bert,12.275659238384598,10.120886230468745,0.3729662471178843,3.400839909937077,233,20
ENPH,CNN-LSTM,score_bert_plus_topic_bert,12.771167395000196,10.221531677246087,0.32132404081541366,3.420655831905091,233,20
