Stock,Modèle,AvecTopic,RMSE,MAE,R2,MAPE%
NIO,CNN-LSTM,False,1.2192255721193663,0.9756337165832523,0.5745757012681427,5.059859125202893
NIO,CNN-LSTM,True,1.1937795050195463,0.9201553344726566,0.5921481817402088,4.740776731789092
NIO,LSTM,False,1.2631993222100404,1.0900892257690429,0.5433347832389533,5.781823329167836
NIO,LSTM,True,1.2552042923825761,1.119300365447998,0.5490971326359021,6.070995768248086
NOC,CNN,False,11.495438667027898,9.949528503417975,-1.3013794808927903,2.063224368680113
NOC,CNN,True,13.064283257765364,11.398461914062505,-1.9724072751454442,2.3529212796549714
NOC,CNN-LSTM,False,10.19120855803808,9.242558288574225,-0.8087915393721357,1.9127211829605306
NOC,CNN-LSTM,True,7.373715339398807,6.424040222167974,0.05308744503582474,1.3398266616744532
NOC,LSTM,False,8.036182124145588,7.061833190917975,-0.12469996220584867,1.4694247851025373
NOC,LSTM,True,8.277711536584924,7.268539428710943,-0.19332218654735156,1.5039551452255755
PG,CNN,False,2.8123284473771153,2.3118953704833984,0.02772032431079785,1.7127391120181978
PG,CNN,True,3.0323120857916055,2.2687763214111327,-0.13033433904646552,1.6920242259076808
PG,CNN-LSTM,False,2.4477244634906663,1.8932628631591797,0.26348061057181926,1.40645220867839
PG,CNN-LSTM,True,3.219765676553646,2.4996883392333986,-0.27440556864002397,1.869138160575037
PG,LSTM,False,2.0111799065209643,1.5319095611572267,0.5027658246341944,1.1415809559337373
PG,LSTM,True,2.962822436024819,2.4070514678955077,-0.07912157891006855,1.7980065585539
PYPL,CNN,False,10.642081877602928,9.297139358520507,-6.428829665494899,9.944035284658735
PYPL,CNN,True,5.6636451781487,4.823200607299808,-1.1040656362340284,5.20955932858313
PYPL,CNN-LSTM,False,3.369868282930568,2.6087394714355496,0.25510842753177154,2.782034176154986
PYPL,CNN-LSTM,True,4.869848054939808,4.0685783386230465,-0.5556003440081254,4.332044975630862
PYPL,LSTM,False,3.9679013734586266,3.243371963500978,-0.03273511986868405,3.455446663487004
PYPL,LSTM,True,5.381238776623793,4.668465805053712,-0.8994669207032175,5.000645710672922
TSLA,CNN,False,15.305752598672193,12.368388366699216,-0.3599285306625868,4.312396941363648
TSLA,CNN,True,15.57937853098055,13.149682617187498,-0.40898693414705223,4.550908748094869
TSLA,CNN-LSTM,False,10.358078999411664,9.308184814453123,0.377176278965342,3.2125379834350722
TSLA,CNN-LSTM,True,8.056468492044697,6.409542846679685,0.6232128069073137,2.2390220059055768
